Index PrintRuns Orders
 1  2800   437
 2  2670   204
 3  2800   725
 4  2784   279
 5  2800   474
 6  2620   1587
 7  2620  2630
 8  2470   798
 9  2620  2509
10  2475  1192
11  2620  882
12  2620  511
13  2448  896
14  2648  1297
15  2525  857
16  1000  388
17   980  462
18  1000  67
19  1112   326
20  1000  145
21  1000  298
22  2188  179
23  1028  289
24  2200 200
25  1000  461
26   980  223
27   728  235
28  2510  235
29  1500  594
30  2500  1800
31  2620  1457
32  2528  1710
33  2630  1715
34  2550  1615
35  1150   196
36  1150   309
37  1150   263
38  1147   332

